Order;Type of operation;Label;Spot
1;EC;WH1;C1.1.L
2;PC;WH1;J8.1.L
3;RC;GR11;J4.1-J3.1-J2.1
4;RC;GR12;J4.1-J3.1-J1.1
5;EC;WH2;C1.1.L
6;PC;WH2;J7.1.L
7;RC;GR21;J5.1
8;RC;GR22;J3.1-J1.1
9;EC;WH3;C3.1.R
10;PC;WH3;J9.1.R
11;RC;WH3;J3.1-J4.1
