Order;Type of operation;Label;Spot
1;PC;MO5;J1.1.L
2;RC;MO5;J1.1-J2.4-J2.5-J2.6-J2.8-J3.1-J3.2
3;RC;MO3-MO4;J3.3
4;PC;LU2;J5.1.R
5;RC;MO1-MO2;J5.1-J4.3-J4.2-J4.1
6;RC;TY2;J5.1-J3.3-J3.2-J3.1-J2.8-J2.6-J2.5-J2.4-J2.3-J2.2
7;T;GUN1;J3.TS1
8;T;GUN1;J4.TS1
9;PC;LU1;J6.3.R
10;RC;LU1;J6.3-J6.2-J6.1-J3.3-J3.2-J3.1-J2.8
11;RC;TY1;J2.6-J2.5-J2.4-J2.3-J2.1
12;RC;EP1-EP2-CA3-CA4-CA7-CA8;J2.7
13;T;GUN1;J6.TS1
14;T;GUN1;J3.TS1
15;T;GUN1;J2.TS3
16;T;GUN1;J2.TS2
17;T;GUN1;J2.TS1
;;;
;;;
